time,euler_energy,euler_energy_drift,euler_separation_drift,verlet_energy,verlet_energy_drift,verlet_separation_drift
9.1,-0.483022415318,0.0339542033186,0.0352165626713,-0.4999995,8.90399756148e-14,9.10798658715e-08
9.2,-0.482848289888,0.0343024545271,0.0352876193888,-0.4999995,1.91069573607e-13,1.94239091034e-07
9.3,-0.482674188086,0.034650658479,0.0353628658413,-0.4999995,3.30180657704e-13,3.33453290535e-07
9.4,-0.482500115107,0.0349988047862,0.035447661575,-0.4999995,5.02487443432e-13,5.05942797213e-07
9.5,-0.482326080137,0.0353468750737,0.0355471905579,-0.4999995,7.06546639418e-13,7.082635467e-07
9.6,-0.482152096186,0.0356948433242,0.035666367208,-0.4999995,9.34808721542e-13,9.36375842864e-07
9.7,-0.481978179837,0.0360426763696,0.035809747091,-0.4999995,1.18327688292e-12,1.18572502084e-06
9.8,-0.481804350936,0.0363903345183,0.0359814440042,-0.4999995,1.44884249598e-12,1.4513323936e-06
9.9,-0.481630632214,0.0367377723112,0.0361850550637,-0.4999995,1.72551035038e-12,1.72789465691e-06
10,-0.481457048847,0.0370849393907,0.0364235952767,-0.499999499999,2.00728523581e-12,2.00988978261e-06
10.1,-0.481283627983,0.0374317814658,0.0366994428997,-0.499999499999,2.28850500916e-12,2.29168727595e-06
10.2,-0.481110398212,0.0377782413551,0.0370142966776,-0.499999499999,2.56439570667e-12,2.56766059858e-06
10.3,-0.48093738902,0.0381242600853,0.0373691458089,-0.499999499999,2.82929518525e-12,2.83229950915e-06
10.4,-0.480764630225,0.0384697780211,0.0377642532244,-0.499999499999,3.07831845869e-12,3.08032008411e-06
10.5,-0.480592151406,0.0388147360043,0.0381991524761,-0.499999499999,3.30369395807e-12,3.30677021898e-06
10.6,-0.480419981342,0.039159076476,0.0386726582477,-0.499999499999,3.50342327993e-12,3.50712850139e-06
10.7,-0.480248147472,0.0395027445594,0.0391828902059,-0.499999499999,3.67339859497e-12,3.6773944867e-06
10.8,-0.480076675384,0.0398456890792,0.0397273096306,-0.499999499998,3.80973411873e-12,3.81416857098e-06
10.9,-0.479905588345,0.0401878634996,0.0403027680009,-0.499999499998,3.91220780638e-12,3.91471986561e-06
11,-0.479734906885,0.0405292267598,0.0409055664733,-0.499999499998,3.97582364931e-12,3.97704072341e-06
11.1,-0.479564648438,0.0408697439945,0.0415315249872,-0.499999499998,3.99891631131e-12,3.99988682154e-06
11.2,-0.479394827042,0.0412093871257,0.0421760595553,-0.499999499998,3.98192988205e-12,3.9828020062e-06
11.3,-0.479225453115,0.0415481353183,0.0428342661743,-0.499999499998,3.92353209255e-12,3.92612739941e-06
11.4,-0.479056533296,0.041885975294,0.0435010096925,-0.499999499998,3.82960713075e-12,3.83099458845e-06
11.5,-0.478888070361,0.0422229015022,0.0441710159279,-0.499999499999,3.6974904587e-12,3.69930303279e-06
11.6,-0.478720063206,0.0425589161482,0.0448389653153,-0.499999499999,3.53173399537e-12,3.53368213979e-06
11.7,-0.478552506905,0.0428940290844,0.0454995863865,-0.499999499999,3.33589045798e-12,3.33743876868e-06
11.8,-0.47838539283,0.0432282575696,0.0461477474464,-0.499999499999,3.11273540687e-12,3.11449120316e-06
11.9,-0.478218708828,0.0435616259058,0.0467785448915,-0.499999499999,2.86770894031e-12,2.86929091975e-06
12,-0.478052439466,0.0438941649625,0.0473873867237,-0.499999499999,2.60480786518e-12,2.60673371111e-06
12.1,-0.477886566313,0.0442259116007,0.0479700699416,-0.499999499999,2.33135966077e-12,2.33206193578e-06
12.2,-0.477721068275,0.0445569080077,0.0485228506286,-0.499999499999,2.04902966328e-12,2.05075984439e-06
12.3,-0.477555921966,0.0448872009566,0.0490425057082,-0.499999499999,1.76769886751e-12,1.7684440845e-06
12.4,-0.477391102107,0.045216841004,0.0495263854908,-0.4999995,1.49058692345e-12,1.49075155065e-06
12.5,-0.477226581954,0.0455458816384,0.049972456298,-0.4999995,1.22324495178e-12,1.22322683693e-06
12.6,-0.477062333741,0.0458743783928,0.0503793326063,-0.4999995,9.71113050752e-13,9.71211529865e-07
12.7,-0.476898329134,0.0462023879361,0.0507462983145,-0.4999995,7.4040847553e-13,7.39737550326e-07
12.8,-0.476734539689,0.0465299671532,0.0510733168956,-0.4999995,5.33906786449e-13,5.33426683047e-07
12.9,-0.476570937314,0.0468571722304,0.0513610303494,-0.4999995,3.55493767978e-13,3.56398292656e-07
13,-0.476407494715,0.0471840577547,0.0516107470264,-0.4999995,2.11719742516e-13,2.12187072357e-07
13.1,-0.476244185835,0.0475106758423,0.0518244185446,-0.4999995,1.03250844541e-13,1.03672460616e-07
13.2,-0.476080986266,0.0478370753061,0.0520046061692,-0.4999995,3.16413878432e-14,3.3021152257e-08
13.3,-0.475917873644,0.0481633008753,0.0521544371741,-0.4999995,1.11022413485e-16,1.6438317374e-09
13.4,-0.475754828006,0.0484893924782,0.0522775518464,-0.4999995,8.7707706653e-15,1.01670056818e-08
13.5,-0.475591832109,0.0488153845978,0.0523780419378,-0.4999995,5.89529015605e-14,5.84204937759e-08
13.6,-0.475428871714,0.0491413057136,0.0524603815004,-0.4999995,1.45772428906e-13,1.45440824273e-07
13.7,-0.475265935816,0.0494671778357,0.052529351178,-0.4999995,2.7144980097e-13,2.69490475713e-07
13.8,-0.475103016825,0.0497930161437,0.0525899571396,-0.4999995,4.29101628119e-13,4.28092568727e-07
13.9,-0.474940110692,0.0501188287355,0.0526473459557,-0.4999995,6.20060179313e-13,6.18080325365e-07
14,-0.474777216976,0.050444616494,0.0527067168078,-0.4999995,8.37220020089e-13,8.35660297405e-07
14.1,-0.474614338848,0.0507703730751,0.0527732324999,-0.4999995,1.07847172459e-12,1.07648811465e-06
14.2,-0.474451483038,0.0510960850212,0.0528519307911,-0.4999995,1.33670985836e-12,1.33575522909e-06
14.3,-0.474288659712,0.0514217319993,0.0529476375986,-0.4999995,1.6103801076e-12,1.60828492879e-06
14.4,-0.474125882293,0.0517472871624,0.0530648836168,-0.499999499999,1.89015658958e-12,1.88863569739e-06
14.5,-0.473963167221,0.0520727176305,0.0532078258666,-0.499999499999,2.17370783362e-12,2.17120986967e-06
14.6,-0.473800533659,0.0523979850817,0.0533801756241,-0.499999499999,2.45470556215e-12,2.45036539481e-06
14.7,-0.473638003139,0.0527230464464,0.053585134077,-0.499999499999,2.72482309416e-12,2.7205284896e-06
14.8,-0.473475599179,0.0530478546902,0.0538253369286,-0.499999499999,2.97895339863e-12,2.97630492829e-06
14.9,-0.473313346851,0.0533723596713,0.0541028090019,-0.499999499999,3.21698545314e-12,3.21258774583e-06
15,-0.473151272321,0.0536965090559,0.0544189297116,-0.499999499999,3.42670679221e-12,3.42465920222e-06
15.1,-0.472989402374,0.0540202492739,0.0547744100525,-0.499999499999,3.60911661757e-12,3.60828498125e-06
15.2,-0.472827763925,0.0543435264937,0.055169281527,-0.499999499998,3.76066221197e-12,3.7597987288e-06
15.3,-0.472666383534,0.0546662875985,0.0556028971873,-0.499999499998,3.87756881337e-12,3.87617525766e-06
15.4,-0.472505286923,0.0549884811426,0.056073944724,-0.499999499998,3.95794904073e-12,3.95509094631e-06
15.5,-0.472344498521,0.0553100582695,0.0565804712878,-0.499999499998,3.99725097511e-12,3.99497013337e-06
15.6,-0.47218404103,0.0556309735723,0.0571199194967,-0.499999499998,3.99669586304e-12,3.99501657511e-06
15.7,-0.472023935035,0.0559511858826,0.0576891738622,-0.499999499998,3.95783801832e-12,3.95522934493e-06
15.8,-0.47186419865,0.0562706589706,0.0582846166759,-0.499999499998,3.87734676854e-12,3.87640284871e-06
15.9,-0.471704847222,0.0565893621467,0.0589021922242,-0.499999499998,3.7601070999e-12,3.76011096948e-06
16,-0.471545893077,0.0569072707542,0.0595374780645,-0.499999499999,3.60833946067e-12,3.60867563676e-06
16.1,-0.471387345339,0.0572243665468,0.0601857619887,-0.499999499999,3.42448634394e-12,3.42512047236e-06
16.2,-0.471229209797,0.0575406379474,0.0608421232304,-0.499999499999,3.21321069108e-12,3.21311042062e-06
16.3,-0.471071488835,0.0578560801869,0.0615015164296,-0.499999499999,2.97617783829e-12,2.97687857143e-06
